payload_len,has_sqli_keywords,has_xss_keywords,has_traversal,has_scanner_ua,is_post,keyword_count,payload_entropy,special_char_count,matched_rule_count,path_depth,has_query_string,label
21,0,0,0,0,0,0,3.5178,1,0,1,0,NORMAL
15,0,0,0,0,0,0,3.6402,1,0,1,0,NORMAL
20,0,0,0,0,0,0,3.6842,3,0,3,0,NORMAL
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
20,0,0,0,0,0,0,3.7842,1,0,1,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
20,0,0,0,0,0,0,3.6842,2,0,2,0,NORMAL
17,0,0,0,0,0,0,3.7345,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
51,0,1,0,0,0,2,4.5248,13,2,1,1,XSS
69,0,1,0,0,0,2,4.4887,6,2,1,1,XSS
63,0,0,1,0,0,16,3.9309,14,2,1,1,DIRECTORY_TRAVERSAL
18,0,0,0,0,0,0,3.3502,1,0,1,0,NORMAL
39,0,0,0,0,0,0,4.0704,3,0,3,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
16,0,0,0,0,0,0,3.625,1,0,1,0,NORMAL
44,0,1,0,0,0,2,4.3342,10,2,2,0,XSS
69,0,0,0,0,1,0,4.5792,8,1,3,1,NORMAL
37,0,1,0,0,1,1,4.1957,5,1,1,0,XSS
21,1,0,0,1,1,2,3.7849,1,3,0,0,SQL_INJECTION
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
169,0,0,0,0,0,0,4.3413,44,1,3,1,NORMAL
12,0,0,0,1,1,0,3.2516,0,1,1,0,BRUTE_FORCE
12,0,0,0,1,1,0,3.4183,0,1,1,0,BRUTE_FORCE
23,0,0,0,0,0,0,3.7081,2,0,2,0,NORMAL
11,0,0,0,1,1,0,3.0958,0,1,1,0,SCANNER
29,1,0,0,1,1,3,3.7849,1,3,0,0,SQL_INJECTION
11,0,0,0,1,1,0,3.0958,0,1,1,0,BRUTE_FORCE
88,0,1,0,0,0,2,4.3074,12,2,4,0,XSS
106,0,1,0,0,0,2,4.5762,15,2,1,1,XSS
12,0,0,0,0,0,0,3.4183,1,0,1,0,NORMAL
44,1,0,0,1,1,2,4.2067,8,2,1,0,SQL_INJECTION
64,0,0,1,0,0,20,3.5728,13,2,2,1,DIRECTORY_TRAVERSAL
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
42,0,0,0,0,0,0,4.336,3,0,1,0,NORMAL
0,0,0,0,0,0,0,0.0,0,0,1,0,NORMAL
9,0,0,0,1,1,0,2.4194,0,1,1,0,BRUTE_FORCE
32,0,1,0,0,1,2,4.0122,7,2,1,0,XSS
13,0,0,0,0,0,0,3.3927,1,0,1,0,NORMAL
0,0,0,1,1,0,3,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
24,0,0,1,0,0,6,3.5179,5,2,5,0,DIRECTORY_TRAVERSAL
29,0,0,0,0,0,0,3.9952,3,0,3,0,NORMAL
175,0,0,0,0,0,0,4.4969,42,1,2,1,NORMAL
40,1,0,0,1,1,9,4.1087,7,2,1,0,SQL_INJECTION
12,0,0,0,1,1,0,3.4183,0,1,1,0,SCANNER
15,1,0,0,1,0,2,3.5069,3,2,1,1,SQL_INJECTION
0,0,0,1,1,0,5,0.0,0,1,1,1,SCANNER
31,0,0,0,0,0,0,3.9865,2,0,2,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
178,0,0,0,0,0,0,4.5348,42,1,2,1,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
10,0,0,0,0,0,0,3.1219,2,0,1,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
61,0,1,0,0,0,2,4.2891,9,2,1,1,XSS
13,0,0,0,1,1,0,3.3927,0,1,1,0,BRUTE_FORCE
14,0,0,0,1,1,0,3.182,0,1,1,0,BRUTE_FORCE
16,1,0,0,1,1,1,3.25,5,1,1,0,SQL_INJECTION
17,0,0,0,0,0,0,3.7345,1,0,1,0,NORMAL
15,0,0,0,0,0,0,3.7736,1,0,1,0,NORMAL
18,0,0,0,0,0,0,3.6835,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
13,0,0,0,0,0,0,3.3927,1,0,1,0,NORMAL
27,1,0,0,1,0,1,3.9121,2,1,1,1,SCANNER
15,0,0,0,0,0,0,3.3232,1,0,1,0,NORMAL
16,0,0,0,0,0,0,3.625,1,0,1,0,NORMAL
79,0,1,0,0,0,2,4.5217,16,2,3,1,XSS
29,0,1,0,0,0,2,3.8404,9,2,1,1,XSS
20,0,0,0,0,0,0,3.7219,1,0,1,0,NORMAL
0,0,0,0,0,0,0,0.0,0,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
178,0,0,0,0,0,0,4.4452,44,1,1,1,NORMAL
13,0,0,0,0,0,0,3.3927,1,0,1,0,NORMAL
9,0,0,0,0,0,0,3.1699,1,0,1,0,NORMAL
16,0,0,0,1,1,0,3.625,0,2,1,0,BRUTE_FORCE
80,1,0,0,1,0,3,3.2718,2,1,1,1,SQL_INJECTION
66,0,1,0,0,0,2,4.4749,11,2,1,1,XSS
32,0,1,0,0,1,2,4.3011,6,2,1,0,XSS
21,0,0,0,0,0,0,3.5352,2,0,2,0,NORMAL
12,0,0,0,0,0,0,3.585,1,0,1,0,NORMAL
19,0,0,0,0,0,0,3.5766,2,0,2,0,NORMAL
17,0,0,0,0,0,0,3.7345,1,0,1,0,NORMAL
12,0,1,0,1,1,1,3.2516,4,1,1,0,XSS
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
13,0,0,0,1,1,0,2.4697,0,1,0,0,BRUTE_FORCE
0,0,0,1,1,0,1,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
40,0,0,0,0,0,0,4.1653,3,0,3,0,NORMAL
255,0,0,0,0,0,0,4.6689,26,1,2,1,NORMAL
14,0,0,0,1,1,0,3.6645,0,1,1,0,BRUTE_FORCE
16,1,0,0,1,1,1,3.25,5,1,1,0,SQL_INJECTION
12,0,0,0,0,0,0,3.085,1,0,1,0,NORMAL
43,0,1,0,0,0,2,4.3503,10,2,2,0,XSS
18,0,0,0,0,0,0,3.5305,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
0,0,0,1,1,0,3,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
26,0,0,0,0,0,0,3.7091,3,0,3,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
15,0,0,0,0,0,0,3.4566,1,0,1,0,NORMAL
12,0,0,0,0,0,0,3.4183,1,0,1,0,NORMAL
24,0,0,0,0,0,0,3.4702,2,0,2,0,NORMAL
10,0,0,0,0,0,0,3.1219,2,0,1,0,NORMAL
14,0,0,0,1,1,0,3.3788,0,1,1,0,BRUTE_FORCE
19,0,0,0,0,0,0,3.6819,1,0,1,0,NORMAL
50,0,0,1,0,0,20,3.0535,12,2,1,1,DIRECTORY_TRAVERSAL
12,1,0,0,1,1,1,3.4183,1,1,1,0,SQL_INJECTION
11,0,0,0,0,0,0,3.2776,2,0,2,0,NORMAL
17,0,0,0,0,0,0,3.8522,1,0,1,0,NORMAL
8,0,0,0,0,0,0,3.0,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
18,0,0,0,1,1,0,3.281,0,1,1,0,BRUTE_FORCE
21,0,0,0,0,0,0,3.5945,2,0,1,0,NORMAL
51,0,1,0,0,0,2,4.4348,11,2,1,1,XSS
12,0,0,1,0,0,2,3.2516,2,1,2,0,DIRECTORY_TRAVERSAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
97,0,1,0,0,0,1,4.6646,17,1,2,1,XSS
15,0,0,0,0,0,0,3.6402,1,0,1,0,NORMAL
9,0,0,0,0,0,0,2.9477,2,0,1,0,NORMAL
0,0,0,0,0,1,0,0.0,0,0,1,1,XSS
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
15,0,0,0,0,0,0,3.5069,1,0,1,0,NORMAL
12,0,0,1,1,0,2,3.2516,2,1,2,0,DIRECTORY_TRAVERSAL
37,0,0,0,0,0,0,3.9696,4,0,4,0,NORMAL
12,0,0,0,1,1,0,3.4183,0,1,1,0,BRUTE_FORCE
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
15,1,0,0,0,0,1,3.3232,3,0,3,0,NORMAL
85,1,0,0,1,0,4,4.1974,11,1,1,1,SQL_INJECTION
0,0,0,0,1,0,0,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
12,0,0,1,1,0,2,3.2516,2,1,2,0,DIRECTORY_TRAVERSAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
13,0,0,0,0,0,0,3.2389,1,0,1,0,NORMAL
11,0,0,0,0,0,0,3.2776,2,0,1,0,NORMAL
23,0,0,0,0,0,0,3.8492,1,0,1,0,NORMAL
13,0,0,1,1,0,2,3.2389,2,1,2,0,DIRECTORY_TRAVERSAL
15,0,0,0,0,0,0,3.3232,1,0,1,0,NORMAL
13,0,0,0,1,1,0,3.1808,0,0,1,0,NORMAL
19,1,0,0,1,1,2,3.4264,7,1,1,0,SQL_INJECTION
12,0,0,0,0,0,0,3.4183,2,0,1,0,NORMAL
0,0,0,0,0,1,0,0.0,0,0,0,1,XSS
19,0,0,0,0,0,0,3.0106,2,0,2,0,NORMAL
12,0,0,1,1,0,2,3.2516,2,1,2,0,DIRECTORY_TRAVERSAL
23,1,0,0,1,1,2,3.7251,7,2,1,0,SQL_INJECTION
12,0,0,0,1,1,0,3.0221,0,1,1,0,SCANNER
45,1,0,0,0,0,1,4.2493,3,0,1,1,NORMAL
19,0,0,0,0,0,0,3.5111,2,0,2,0,NORMAL
37,1,0,0,1,1,3,3.476,0,3,0,0,SQL_INJECTION
22,0,1,0,0,0,1,3.9706,4,1,2,0,XSS
12,0,0,0,0,1,0,3.4183,0,0,1,0,NORMAL
12,0,0,0,0,0,0,3.2516,2,0,1,0,NORMAL
13,0,0,0,0,0,0,3.2389,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
25,0,0,0,0,0,0,3.8635,2,0,2,0,NORMAL
22,0,0,0,1,1,0,3.9363,0,1,1,0,SQL_INJECTION
57,0,0,0,0,0,0,4.0005,6,0,6,0,NORMAL
8,1,0,0,1,1,1,2.75,1,1,0,0,SQL_INJECTION
13,0,0,0,0,0,0,3.1808,1,0,1,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
15,0,0,0,0,0,0,3.7736,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
13,0,0,0,1,1,0,3.0851,0,1,1,0,BRUTE_FORCE
38,1,0,0,1,1,3,3.6911,1,1,1,0,SQL_INJECTION
0,0,0,1,1,0,3,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
12,0,0,0,1,1,0,2.9183,0,1,1,0,BRUTE_FORCE
185,0,0,0,0,0,0,4.4944,45,1,2,1,NORMAL
179,0,0,0,0,0,0,4.518,42,1,2,1,NORMAL
12,0,0,0,1,1,0,2.585,0,1,1,0,BRUTE_FORCE
17,0,0,0,0,0,0,3.8522,1,0,1,0,NORMAL
94,0,0,0,0,0,0,1.0703,1,0,1,0,NORMAL
21,0,1,0,1,0,3,4.1066,5,2,1,1,XSS
51,0,0,1,0,0,14,3.3213,17,1,2,1,DIRECTORY_TRAVERSAL
12,0,0,0,1,1,0,3.4183,0,1,1,0,BRUTE_FORCE
11,0,0,0,1,1,0,3.0958,0,1,1,0,BRUTE_FORCE
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.6645,1,0,1,0,NORMAL
37,0,0,0,0,0,0,3.7159,4,0,4,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
13,0,0,0,0,0,0,3.1808,1,0,1,0,NORMAL
18,0,0,0,1,1,0,3.5033,7,1,1,0,SQL_INJECTION
12,0,0,0,1,1,0,3.4183,0,1,1,0,SCANNER
15,0,0,0,0,0,0,3.4566,3,0,3,0,NORMAL
12,0,0,1,0,0,2,3.2516,2,1,2,0,DIRECTORY_TRAVERSAL
5,0,0,0,0,0,0,2.3219,1,0,1,0,NORMAL
32,0,0,0,0,0,0,3.7928,4,0,3,1,NORMAL
25,0,1,0,1,0,2,3.7835,7,2,1,1,XSS
37,1,0,0,1,1,2,4.1753,5,2,1,0,SQL_INJECTION
26,0,0,0,0,0,0,3.9312,4,0,3,0,NORMAL
22,0,1,0,0,0,1,3.9706,4,1,2,0,XSS
11,0,0,0,1,1,0,3.4594,0,0,1,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
30,0,0,0,0,0,0,3.8062,3,0,3,0,NORMAL
22,0,0,0,0,0,0,4.0049,2,0,2,0,NORMAL
16,0,0,0,1,1,0,3.625,2,1,1,0,SCANNER
14,0,0,0,0,0,0,3.3788,2,0,2,0,NORMAL
29,1,0,0,1,0,1,4.2113,4,1,1,1,SQL_INJECTION
16,0,0,0,0,0,0,3.75,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,0,1,0,NORMAL
16,0,0,0,1,1,0,3.5778,0,2,1,0,BRUTE_FORCE
26,0,0,0,0,0,0,3.5074,3,0,3,0,NORMAL
31,0,0,0,0,0,0,3.9621,2,0,2,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
48,1,0,0,0,1,3,3.8856,1,1,1,0,SQL_INJECTION
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
20,1,0,0,1,1,1,3.2842,2,1,1,0,SQL_INJECTION
16,1,0,0,1,1,1,3.25,5,1,1,0,SQL_INJECTION
17,0,0,0,0,1,0,3.9698,0,0,1,0,NORMAL
110,0,1,0,0,0,2,4.6069,15,2,1,1,XSS
12,0,0,0,1,1,0,3.2516,0,1,1,0,BRUTE_FORCE
22,0,1,0,0,0,1,3.9706,4,1,2,0,XSS
19,0,1,0,0,1,2,3.7871,2,2,1,0,XSS
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
55,0,1,0,0,0,2,4.5265,12,2,2,1,XSS
7,0,0,0,0,0,0,2.8074,1,0,1,0,NORMAL
13,0,0,0,0,0,0,3.3927,1,0,1,0,NORMAL
28,0,0,0,0,0,0,4.0836,3,0,3,0,NORMAL
13,0,0,0,0,0,0,3.5466,1,0,1,0,NORMAL
25,1,0,0,0,1,1,3.6537,5,3,1,0,SQL_INJECTION
7,0,0,0,0,0,0,2.8074,1,0,1,0,NORMAL
12,0,0,0,0,0,0,3.4183,1,0,1,0,NORMAL
243,1,0,0,1,0,3,4.5496,40,1,1,1,SCANNER
0,0,0,1,1,0,4,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
18,0,0,0,1,1,0,3.6835,0,0,1,0,SQL_INJECTION
18,0,0,0,0,0,0,3.5305,1,0,1,0,NORMAL
37,0,0,0,0,0,0,3.8687,4,0,4,0,NORMAL
83,0,1,0,0,0,2,4.4783,12,2,1,1,XSS
0,0,0,0,0,0,0,0.0,0,0,1,0,NORMAL
10,0,0,0,0,0,0,3.3219,1,0,1,0,NORMAL
0,0,0,1,1,0,1,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
7,0,0,0,0,0,0,2.5216,1,0,1,0,NORMAL
19,0,0,0,0,0,0,3.9321,1,0,1,0,NORMAL
20,0,0,0,0,0,0,4.0219,3,0,1,1,NORMAL
11,0,0,0,0,0,0,3.2776,2,0,1,0,NORMAL
86,0,1,0,0,0,3,4.5873,13,3,2,1,XSS
90,1,0,0,1,0,2,4.7051,12,2,1,1,SQL_INJECTION
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
12,0,0,0,1,1,0,3.4183,0,1,1,0,BRUTE_FORCE
0,0,0,1,1,0,4,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
16,0,0,0,0,0,0,3.4528,1,0,1,0,NORMAL
35,0,0,0,0,0,0,4.4004,3,0,1,1,NORMAL
4,0,0,0,0,0,0,1.5,2,0,1,0,NORMAL
21,1,0,0,1,1,2,3.7849,1,3,1,0,SQL_INJECTION
24,0,0,0,0,0,0,4.0016,2,0,2,0,NORMAL
17,0,0,0,0,0,0,3.7345,1,0,1,0,NORMAL
48,1,0,0,1,1,2,4.3198,8,2,0,0,SQL_INJECTION
0,0,0,0,1,1,0,0.0,0,0,0,1,XSS
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
161,0,0,0,0,0,0,4.2311,43,1,2,1,NORMAL
24,0,0,0,0,0,0,3.9183,4,0,3,0,NORMAL
0,0,0,1,1,0,4,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
29,0,0,0,0,1,0,3.7849,0,1,1,0,SQL_INJECTION
28,0,1,0,1,0,2,4.107,6,1,1,1,XSS
10,0,0,0,1,1,0,2.4464,0,1,1,0,BRUTE_FORCE
37,0,0,0,0,0,0,3.8714,4,0,4,0,NORMAL
17,0,0,0,0,0,0,3.6169,2,0,2,0,NORMAL
0,0,0,1,1,0,2,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
25,0,0,0,0,0,0,3.9737,3,0,3,0,NORMAL
16,1,0,0,1,1,2,3.625,2,1,1,0,SQL_INJECTION
21,0,0,0,0,0,0,3.5178,1,0,1,0,NORMAL
15,0,0,0,0,0,0,3.9069,1,0,1,0,NORMAL
12,0,0,0,1,1,0,3.2516,0,1,1,0,BRUTE_FORCE
0,0,0,1,1,0,4,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
0,0,0,0,0,1,0,0.0,0,0,1,1,XSS
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
14,0,0,0,0,0,0,3.6645,1,0,1,0,NORMAL
9,0,0,0,1,1,0,1.8366,0,1,1,0,BRUTE_FORCE
86,0,1,0,0,0,3,4.4739,13,3,3,1,XSS
6,0,0,0,0,0,0,2.2516,2,0,1,0,NORMAL
15,0,0,0,0,0,0,3.1899,1,0,1,0,NORMAL
44,0,0,1,0,0,6,4.0212,8,1,2,0,DIRECTORY_TRAVERSAL
11,0,0,0,1,1,0,3.0958,0,1,1,0,SCANNER
67,1,0,0,0,1,2,4.2773,8,1,1,0,SQL_INJECTION
10,0,0,0,1,1,0,2.9219,0,1,1,0,BRUTE_FORCE
101,0,0,0,0,1,0,4.662,9,0,3,1,NORMAL
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
15,1,0,0,1,1,2,3.1069,2,2,1,0,SQL_INJECTION
10,0,0,0,0,0,0,3.3219,1,0,1,0,NORMAL
12,0,0,0,0,0,0,3.2516,1,0,1,0,NORMAL
42,0,0,0,1,1,0,4.0081,6,2,1,0,SQL_INJECTION
19,0,0,0,0,1,0,3.9321,0,0,1,0,NORMAL
22,0,0,0,0,0,0,3.9706,6,0,1,1,NORMAL
13,0,0,0,1,1,0,3.3347,0,1,1,0,BRUTE_FORCE
13,0,0,0,0,0,0,3.5466,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
19,0,0,0,0,0,0,3.8269,2,0,2,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
35,0,0,1,0,0,12,2.9076,8,1,1,0,DIRECTORY_TRAVERSAL
39,0,1,0,0,0,2,3.9166,13,2,3,0,XSS
44,0,0,0,0,0,0,4.5726,6,0,2,1,NORMAL
15,0,0,0,0,0,0,3.4566,1,0,1,0,NORMAL
17,0,0,0,0,0,0,3.5725,1,0,1,0,NORMAL
83,0,1,0,0,0,2,4.6687,14,2,1,1,XSS
94,0,0,0,1,0,0,4.6592,14,1,1,1,SCANNER
13,0,0,0,0,0,0,2.8731,2,0,2,0,NORMAL
13,0,0,0,1,1,0,3.5466,0,1,1,0,BRUTE_FORCE
11,0,0,0,1,1,0,3.0958,0,1,1,0,SCANNER
9,1,0,0,1,1,1,2.7255,2,2,1,0,SQL_INJECTION
72,0,1,0,0,0,2,4.5277,12,2,1,1,XSS
16,0,0,0,1,1,0,3.5,0,2,1,0,BRUTE_FORCE
6,0,0,0,0,0,0,2.2516,1,0,1,0,NORMAL
26,0,0,0,0,0,0,3.8253,2,1,2,0,DIRECTORY_TRAVERSAL
15,0,0,0,0,0,0,3.6402,1,0,1,0,NORMAL
14,0,0,0,1,1,0,3.0931,0,0,1,0,NORMAL
26,0,0,0,0,0,0,4.2099,3,0,1,1,NORMAL
0,0,0,1,1,0,4,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
17,0,0,0,1,1,0,3.7345,0,2,1,0,BRUTE_FORCE
0,0,0,1,1,0,3,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
11,0,0,0,1,1,0,3.0958,0,1,1,0,SCANNER
0,0,0,0,0,1,0,0.0,0,0,0,1,XSS
14,0,0,0,0,0,0,3.6645,1,0,1,0,NORMAL
54,0,0,1,0,0,2,4.3034,6,1,3,1,DIRECTORY_TRAVERSAL
25,0,0,0,0,0,0,3.6537,3,0,3,0,NORMAL
21,0,0,0,0,0,0,3.5945,2,0,2,0,NORMAL
18,0,0,0,0,0,0,3.7255,2,0,2,0,NORMAL
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
20,0,0,0,0,0,0,3.8842,1,0,1,0,NORMAL
8,0,0,0,0,0,0,3.0,1,0,1,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
16,0,0,0,0,0,0,3.375,2,0,1,0,NORMAL
17,0,0,0,0,0,0,3.2195,1,0,1,0,NORMAL
13,0,0,0,0,0,0,3.7004,1,0,1,0,NORMAL
14,0,0,0,1,1,0,3.182,0,1,0,0,BRUTE_FORCE
10,0,0,0,0,0,0,3.1219,1,0,1,0,NORMAL
64,0,0,1,0,0,2,3.8226,10,2,2,1,DIRECTORY_TRAVERSAL
8,0,0,0,0,0,0,3.0,1,0,1,0,NORMAL
21,0,1,0,1,0,3,4.1066,5,2,1,1,XSS
32,1,0,0,1,1,3,4.2417,6,2,1,0,SQL_INJECTION
33,1,0,0,1,1,3,3.2597,0,3,0,0,SQL_INJECTION
118,0,1,0,0,0,2,4.496,11,2,1,1,XSS
33,0,0,0,0,0,0,3.5937,3,0,3,0,NORMAL
8,0,0,0,0,0,0,2.75,1,0,1,0,NORMAL
33,0,1,0,0,1,1,3.703,7,1,1,0,XSS
52,0,0,1,0,0,2,4.2747,6,1,1,1,DIRECTORY_TRAVERSAL
70,0,1,0,0,0,2,4.537,15,2,3,1,XSS
13,0,0,0,0,0,0,3.2389,1,0,1,0,NORMAL
14,0,1,0,1,0,2,3.0931,4,2,1,1,XSS
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
87,0,0,1,0,0,2,4.444,7,2,3,1,DIRECTORY_TRAVERSAL
15,0,0,0,0,0,0,3.4566,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
13,0,0,0,0,0,0,3.3927,1,0,1,0,NORMAL
25,0,0,0,0,0,0,4.1337,3,0,2,1,NORMAL
12,0,0,0,1,1,0,3.4183,0,1,1,0,SCANNER
12,0,0,0,0,0,0,3.4183,1,0,1,0,NORMAL
14,0,0,0,1,1,0,3.182,0,1,1,0,BRUTE_FORCE
15,0,0,0,0,0,0,3.6402,1,0,1,0,NORMAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
33,1,0,0,1,1,2,4.0289,5,2,1,0,SQL_INJECTION
25,0,1,0,0,1,3,4.2439,5,2,1,0,XSS
18,0,0,0,0,0,0,3.9477,1,0,1,0,NORMAL
22,0,1,0,0,1,2,3.9706,5,2,1,0,XSS
14,0,0,0,0,1,0,3.8074,0,0,1,0,NORMAL
63,0,0,0,0,0,0,4.7363,17,0,1,1,NORMAL
39,0,0,0,0,1,0,3.7491,7,1,1,0,SQL_INJECTION
17,0,0,0,0,1,0,4.0875,0,0,1,0,NORMAL
53,0,1,0,0,0,2,4.3829,12,2,1,1,XSS
43,0,0,0,0,0,0,4.014,5,0,5,0,NORMAL
0,0,0,1,1,0,2,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
0,0,0,0,1,0,0,0.0,0,0,1,0,NORMAL
11,0,0,0,0,0,0,3.2776,1,0,1,0,NORMAL
28,0,0,0,0,0,0,3.7979,3,0,2,1,NORMAL
9,0,0,0,0,0,0,3.1699,1,0,1,0,NORMAL
24,0,0,0,0,0,0,3.6887,3,0,3,0,NORMAL
53,0,1,0,0,0,2,4.4257,9,2,1,1,XSS
17,0,0,0,0,0,0,3.8522,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.3249,1,0,1,0,NORMAL
0,0,0,1,1,0,3,0.0,0,0,1,1,DIRECTORY_TRAVERSAL
36,1,0,0,0,0,1,3.7806,3,0,2,1,NORMAL
62,1,0,0,1,1,4,4.2364,0,3,1,0,SQL_INJECTION
16,0,0,0,0,0,0,3.4528,1,0,1,0,NORMAL
14,0,0,0,0,0,0,3.6645,1,0,1,0,NORMAL
24,0,0,0,0,0,0,3.9906,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
175,0,0,0,0,0,0,4.4969,42,1,2,1,NORMAL
12,0,0,0,0,0,0,3.2516,1,0,1,0,NORMAL
16,0,0,0,0,0,0,3.75,1,0,1,0,NORMAL
0,0,0,0,1,1,0,0.0,0,0,1,1,XSS
14,0,0,0,0,0,0,3.5216,1,0,1,0,NORMAL
